customer_id,age,gender,country,plan_type,signup_date,tenure_months
user_00001,43.0,M,USA,Basic,2024-04-08,21
user_00002,38.0,M,USA,Premium+,2024-05-24,19
user_00003,32.0,F,USA,Standard,2023-09-22,28
user_00004,11.0,M,USA,Standard,2024-08-21,16
user_00005,21.0,F,USA,Standard,2024-10-28,14
user_00006,43.0,F,Canada,Standard,2024-05-16,20
user_00007,63.0,NULL,USA,Premium,2025-03-13,10
user_00008,NULL,M,Canada,Basic,2022-11-03,38
user_00009,24.0,M,USA,Premium,2025-04-13,9
user_00010,24.0,M,USA,Basic,2024-08-04,17
user_00011,67.0,F,USA,Basic,2022-10-07,39
user_00012,41.0,F,USA,Premium,2022-09-26,40
user_00013,32.0,F,USA,Basic,2023-01-18,36
user_00014,22.0,M,USA,Basic,2023-10-18,27
user_00015,45.0,F,Canada,Basic,2023-12-16,25
user_00016,50.0,F,USA,Standard,2024-08-02,17
user_00017,25.0,F,USA,Premium,2022-11-11,38
user_00018,36.0,F,USA,Basic,2025-02-01,11
user_00019,26.0,Other,USA,Premium,2025-03-25,9
user_00020,31.0,F,USA,Premium+,2023-07-02,30
user_00021,38.0,F,Canada,Basic,2024-04-29,20
user_00022,33.0,M,USA,Premium+,2023-09-05,28
user_00023,40.0,F,Canada,Basic,2024-08-13,17
user_00024,NULL,F,Canada,Standard,2024-07-24,17
user_00025,36.0,M,USA,Premium+,2023-12-14,25
user_00026,60.0,NULL,Canada,Basic,2022-09-26,40
user_00027,37.0,F,USA,Basic,2023-05-13,32
user_00028,NULL,M,USA,Standard,2024-09-14,16
user_00029,28.0,F,USA,Basic,2024-11-04,14
user_00030,24.0,NULL,USA,Premium,2024-05-11,20
user_00031,26.0,M,USA,Premium+,2025-02-02,11
user_00032,56.0,M,USA,Premium+,2023-12-24,24
user_00033,60.0,M,USA,Standard,2024-05-11,20
user_00034,32.0,NULL,USA,Standard,2023-11-20,26
user_00035,31.0,M,USA,Premium+,2025-03-25,9
user_00036,36.0,Other,USA,Premium,2024-09-29,15
user_00037,41.0,M,Canada,Standard,2024-03-30,21
user_00038,21.0,F,USA,Standard,2024-10-04,15
user_00039,40.0,F,USA,Standard,2023-12-29,24
user_00040,48.0,F,USA,Standard,2024-11-29,13
user_00041,29.0,F,Canada,Standard,2023-04-21,33
user_00042,58.0,M,Canada,Standard,2023-11-10,26
user_00043,35.0,M,Canada,Standard,2022-10-29,38
user_00044,42.0,M,Canada,Basic,2023-02-16,35
user_00045,40.0,F,USA,Premium,2023-12-13,25
user_00046,NULL,M,USA,Premium+,2024-03-25,21
user_00047,50.0,F,USA,Premium+,2025-06-04,7
user_00048,33.0,F,Canada,Basic,2025-05-21,7
user_00049,39.0,NULL,USA,Basic,2024-04-19,21
user_00050,47.0,M,USA,Premium+,2025-03-12,10
user_00051,24.0,Other,USA,Premium,2025-06-12,7
user_00052,20.0,M,Canada,Premium,2022-09-21,40
user_00053,34.0,M,USA,Standard,2023-04-13,33
user_00054,53.0,NULL,Canada,Premium,2023-03-08,34
user_00055,44.0,F,USA,Standard,2024-05-28,19
user_00056,37.0,F,Canada,Premium,2024-10-29,14
user_00057,NULL,NULL,Canada,Premium,2025-06-27,6
user_00058,NULL,M,USA,Standard,2025-05-01,8
user_00059,40.0,NULL,USA,Standard,2024-05-06,20
user_00060,22.0,M,USA,Premium,2023-10-12,27
user_00061,20.0,M,USA,Standard,2024-05-05,20
user_00062,27.0,F,USA,Premium,2024-05-08,20
user_00063,26.0,NULL,Canada,Standard,2023-12-17,25
user_00064,40.0,F,Canada,Premium,2023-09-23,28
user_00065,38.0,F,USA,Basic,2023-11-12,26
user_00066,NULL,F,USA,Premium,2025-03-16,10
user_00067,38.0,M,USA,Standard,2024-11-14,14
user_00068,30.0,M,USA,Basic,2024-10-27,14
user_00069,40.0,F,USA,Premium,2024-05-28,19
user_00070,50.0,M,Canada,Premium+,2024-11-16,14
user_00071,43.0,M,USA,Standard,2022-08-22,41
user_00072,28.0,F,USA,Premium,2023-11-22,26
user_00073,39.0,Other,Canada,Basic,2022-11-22,38
user_00074,44.0,F,Canada,Basic,2023-11-29,25
user_00075,29.0,F,Canada,Premium,2023-12-07,25
user_00076,26.0,M,Canada,Standard,2023-09-14,28
user_00077,35.0,F,USA,Premium,2023-07-08,30
user_00078,53.0,F,Canada,Standard,2025-06-05,7
user_00079,30.0,M,USA,Premium,2024-09-30,15
user_00080,21.0,M,Canada,Standard,2023-12-21,25
user_00081,56.0,Other,USA,Premium,2023-12-07,25
user_00082,NULL,NULL,USA,Premium,2025-02-06,11
user_00083,33.0,F,USA,Basic,2022-12-01,37
user_00084,50.0,NULL,Canada,Standard,2022-08-03,41
user_00085,48.0,F,USA,Basic,2024-10-29,14
user_00086,66.0,M,USA,Premium,2025-01-07,12
user_00087,26.0,F,USA,Standard,2023-08-28,28
user_00088,38.0,Other,Canada,Standard,2024-12-27,12
user_00089,32.0,NULL,Canada,Standard,2023-05-29,31
user_00090,20.0,M,USA,Standard,2024-05-26,19
user_00091,27.0,F,Canada,Basic,2025-04-29,8
user_00092,20.0,M,Canada,Premium,2025-01-06,12
user_00093,31.0,F,USA,Premium+,2023-12-27,24
user_00094,NULL,M,USA,Premium,2023-12-25,24
user_00095,36.0,F,USA,Standard,2025-02-14,11
user_00096,30.0,M,USA,Premium,2025-06-06,7
user_00097,52.0,M,Canada,Standard,2023-03-13,34
user_00098,24.0,F,USA,Standard,2025-06-03,7
user_00099,20.0,F,USA,Premium,2025-06-26,6
user_00100,22.0,F,USA,Premium,2023-09-07,28
user_00101,14.0,M,USA,Premium+,2024-04-04,21
user_00102,45.0,F,USA,Premium,2023-01-27,35
user_00103,40.0,M,USA,Premium,2024-09-30,15
user_00104,49.0,NULL,USA,Standard,2025-03-15,10
user_00105,22.0,NULL,USA,Basic,2023-02-28,34
user_00106,38.0,M,Canada,Basic,2025-04-09,9
user_00107,35.0,F,Canada,Standard,2023-04-24,33
user_00108,13.0,F,USA,Premium,2023-06-10,31
user_00109,24.0,NULL,USA,Premium,2025-03-19,9
user_00110,49.0,F,Canada,Standard,2024-09-27,15
user_00111,101.0,F,Canada,Basic,2022-08-09,41
user_00112,33.0,M,USA,Standard,2024-08-27,16
user_00113,37.0,M,Canada,Standard,2024-02-28,22
user_00114,36.0,Other,Canada,Premium,2025-01-04,12
user_00115,30.0,M,Canada,Basic,2023-08-14,29
user_00116,37.0,NULL,USA,Standard,2025-03-12,10
user_00117,40.0,F,Canada,Basic,2024-03-06,22
user_00118,43.0,F,USA,Basic,2023-12-04,25
user_00119,NULL,M,USA,Premium,2023-10-29,26
user_00120,39.0,M,USA,Basic,2023-04-23,33
user_00121,18.0,M,USA,Premium,2025-02-15,10
user_00122,32.0,Other,USA,Standard,2025-06-15,6
user_00123,NULL,M,USA,Premium,2023-05-15,32
user_00124,55.0,NULL,USA,Premium,2023-06-21,31
user_00125,53.0,F,USA,Standard,2023-01-02,36
user_00126,6.0,Other,Canada,Premium,2023-09-15,28
user_00127,36.0,M,USA,Standard,2023-04-23,33
user_00128,34.0,F,Canada,Premium,2022-10-02,39
user_00129,46.0,F,USA,Premium,2025-04-13,9
user_00130,48.0,M,USA,Basic,2023-09-26,27
user_00131,54.0,M,USA,Basic,2023-04-09,33
user_00132,61.0,F,USA,Basic,2022-08-07,41
user_00133,18.0,F,Canada,Standard,2023-10-29,26
user_00134,59.0,F,Canada,Premium+,2023-09-01,28
user_00135,16.0,M,USA,Premium,2023-07-19,30
user_00136,7.0,F,USA,Premium,2024-05-12,20
user_00137,26.0,F,USA,Basic,2023-05-05,32
user_00138,32.0,F,USA,Standard,2024-07-11,18
user_00139,45.0,F,USA,Standard,2023-08-15,29
user_00140,51.0,M,USA,Standard,2024-10-01,15
user_00141,34.0,NULL,USA,Premium+,2025-06-17,6
user_00142,NULL,M,USA,Basic,2024-04-25,20
user_00143,36.0,F,USA,Basic,2025-05-04,8
user_00144,59.0,F,Canada,Standard,2024-04-01,21
user_00145,NULL,F,USA,Premium+,2024-01-19,24
user_00146,29.0,M,USA,Premium+,2024-11-11,14
user_00147,30.0,F,USA,Premium,2023-03-20,34
user_00148,9.0,F,USA,Premium,2024-04-20,21
user_00149,18.0,F,Canada,Standard,2023-09-17,28
user_00150,44.0,M,Canada,Premium+,2024-12-21,12
user_00151,25.0,M,USA,Premium,2022-11-19,38
user_00152,23.0,M,USA,Premium,2024-07-30,17
user_00153,25.0,F,USA,Standard,2025-07-20,5
user_00154,51.0,F,Canada,Basic,2024-05-31,19
user_00155,43.0,F,Canada,Premium,2024-12-16,13
user_00156,31.0,M,USA,Basic,2024-10-29,14
user_00157,NULL,NULL,USA,Standard,2023-09-06,28
user_00158,15.0,Other,USA,Premium,2023-06-02,31
user_00159,28.0,F,USA,Basic,2023-12-11,25
user_00160,11.0,M,USA,Premium,2024-10-13,15
user_00161,36.0,NULL,USA,Basic,2023-01-21,36
user_00162,35.0,M,USA,Basic,2023-04-05,33
user_00163,26.0,F,USA,Basic,2022-11-04,38
user_00164,21.0,M,USA,Standard,2022-08-28,41
user_00165,35.0,NULL,USA,Premium,2025-05-07,8
user_00166,38.0,F,USA,Standard,2023-06-17,31
user_00167,36.0,NULL,USA,Basic,2024-03-11,22
user_00168,5.0,M,Canada,Standard,2023-10-10,27
user_00169,34.0,NULL,USA,Standard,2023-03-07,34
user_00170,23.0,M,USA,Premium,2023-02-02,35
user_00171,28.0,F,USA,Basic,2024-07-11,18
user_00172,46.0,F,USA,Premium,2024-03-20,22
user_00173,30.0,NULL,USA,Standard,2022-11-19,38
user_00174,40.0,M,Canada,Premium,2025-06-05,7
user_00175,45.0,F,USA,Standard,2023-08-10,29
user_00176,40.0,F,Canada,Standard,2023-07-21,30
user_00177,16.0,F,Canada,Basic,2025-02-19,10
user_00178,39.0,F,USA,Premium,2025-01-18,11
user_00179,48.0,M,USA,Basic,2023-08-21,29
user_00180,22.0,M,Canada,Basic,2024-10-12,15
user_00181,47.0,F,USA,Standard,2024-07-26,17
user_00182,26.0,F,USA,Basic,2024-07-01,18
user_00183,22.0,M,USA,Premium,2023-11-26,25
user_00184,19.0,F,USA,Premium,2025-06-25,6
user_00185,NULL,M,USA,Basic,2022-12-18,37
user_00186,39.0,M,USA,Premium+,2025-05-03,8
user_00187,12.0,F,USA,Premium,2022-09-12,40
user_00188,42.0,F,USA,Standard,2023-06-05,31
user_00189,21.0,M,USA,Premium,2024-10-22,14
user_00190,34.0,M,Canada,Basic,2023-05-29,31
user_00191,42.0,F,USA,Standard,2023-06-10,31
user_00192,NULL,F,USA,Premium,2023-05-05,32
user_00193,NULL,M,USA,Standard,2023-06-25,31
user_00194,36.0,M,Canada,Basic,2025-07-30,5
user_00195,23.0,F,USA,Premium,2023-06-19,31
user_00196,20.0,M,Canada,Standard,2023-05-14,32
user_00197,30.0,M,USA,Standard,2025-07-24,5
user_00198,32.0,Other,USA,Standard,2024-01-20,24
user_00199,46.0,NULL,USA,Standard,2022-08-21,41
user_00200,36.0,M,USA,Standard,2023-11-20,26
user_00201,49.0,F,USA,Premium,2023-09-17,28
user_00202,41.0,F,USA,Standard,2024-09-01,16
user_00203,23.0,F,USA,Premium,2024-09-10,16
user_00204,20.0,Other,USA,Premium,2024-10-03,15
user_00205,52.0,F,USA,Basic,2024-10-19,14
user_00206,39.0,M,USA,Standard,2023-10-15,27
user_00207,NULL,F,USA,Basic,2023-02-16,35
user_00208,36.0,M,USA,Premium,2023-11-19,26
user_00209,2.0,F,Canada,Basic,2023-07-19,30
user_00210,30.0,M,Canada,Premium,2022-11-22,38
user_00211,35.0,NULL,USA,Standard,2025-02-12,11
user_00212,21.0,M,Canada,Premium,2024-01-23,23
user_00213,39.0,NULL,USA,Standard,2024-11-25,13
user_00214,NULL,F,USA,Standard,2023-09-30,27
user_00215,38.0,M,USA,Premium,2025-02-11,11
user_00216,29.0,M,USA,Basic,2024-05-01,20
