"customer_id";"age";"gender";"country";"plan_type";"signup_date";"tenure_months"
"user_00001";43;"M";"USA";"Basic";"2024-04-08";21
"user_00002";38;"M";"USA";"Premium+";"2024-05-24";19
"user_00003";32;"F";"USA";"Standard";"2023-09-22";28
"user_00004";11;"M";"USA";"Standard";"2024-08-21";16
"user_00005";21;"F";"USA";"Standard";"2024-10-28";14
"user_00006";43;"F";"Canada";"Standard";"2024-05-16";20
"user_00007";63;"";"USA";"Premium";"2025-03-13";10
"user_00008";0;"M";"Canada";"Basic";"2022-11-03";38
"user_00009";24;"M";"USA";"Premium";"2025-04-13";9
"user_00010";24;"M";"USA";"Basic";"2024-08-04";17
"user_00011";67;"F";"USA";"Basic";"2022-10-07";39
"user_00012";41;"F";"USA";"Premium";"2022-09-26";40
"user_00013";32;"F";"USA";"Basic";"2023-01-18";36
"user_00014";22;"M";"USA";"Basic";"2023-10-18";27
"user_00015";45;"F";"Canada";"Basic";"2023-12-16";25
"user_00016";50;"F";"USA";"Standard";"2024-08-02";17
"user_00017";25;"F";"USA";"Premium";"2022-11-11";38
"user_00018";36;"F";"USA";"Basic";"2025-02-01";11
"user_00019";26;"Other";"USA";"Premium";"2025-03-25";9
"user_00020";31;"F";"USA";"Premium+";"2023-07-02";30
"user_00021";38;"F";"Canada";"Basic";"2024-04-29";20
"user_00022";33;"M";"USA";"Premium+";"2023-09-05";28
"user_00023";40;"F";"Canada";"Basic";"2024-08-13";17
"user_00024";0;"F";"Canada";"Standard";"2024-07-24";17
"user_00025";36;"M";"USA";"Premium+";"2023-12-14";25
"user_00026";60;"";"Canada";"Basic";"2022-09-26";40
"user_00027";37;"F";"USA";"Basic";"2023-05-13";32
"user_00028";0;"M";"USA";"Standard";"2024-09-14";16
"user_00029";28;"F";"USA";"Basic";"2024-11-04";14
"user_00030";24;"";"USA";"Premium";"2024-05-11";20
"user_00031";26;"M";"USA";"Premium+";"2025-02-02";11
"user_00032";56;"M";"USA";"Premium+";"2023-12-24";24
"user_00033";60;"M";"USA";"Standard";"2024-05-11";20
"user_00034";32;"";"USA";"Standard";"2023-11-20";26
"user_00035";31;"M";"USA";"Premium+";"2025-03-25";9
"user_00036";36;"Other";"USA";"Premium";"2024-09-29";15
"user_00037";41;"M";"Canada";"Standard";"2024-03-30";21
"user_00038";21;"F";"USA";"Standard";"2024-10-04";15
"user_00039";40;"F";"USA";"Standard";"2023-12-29";24
"user_00040";48;"F";"USA";"Standard";"2024-11-29";13
"user_00041";29;"F";"Canada";"Standard";"2023-04-21";33
"user_00042";58;"M";"Canada";"Standard";"2023-11-10";26
"user_00043";35;"M";"Canada";"Standard";"2022-10-29";38
"user_00044";42;"M";"Canada";"Basic";"2023-02-16";35
"user_00045";40;"F";"USA";"Premium";"2023-12-13";25
"user_00046";0;"M";"USA";"Premium+";"2024-03-25";21
"user_00047";50;"F";"USA";"Premium+";"2025-06-04";7
"user_00048";33;"F";"Canada";"Basic";"2025-05-21";7
"user_00049";39;"";"USA";"Basic";"2024-04-19";21
"user_00050";47;"M";"USA";"Premium+";"2025-03-12";10
"user_00051";24;"Other";"USA";"Premium";"2025-06-12";7
"user_00052";20;"M";"Canada";"Premium";"2022-09-21";40
"user_00053";34;"M";"USA";"Standard";"2023-04-13";33
"user_00054";53;"";"Canada";"Premium";"2023-03-08";34
"user_00055";44;"F";"USA";"Standard";"2024-05-28";19
"user_00056";37;"F";"Canada";"Premium";"2024-10-29";14
"user_00057";0;"";"Canada";"Premium";"2025-06-27";6
"user_00058";0;"M";"USA";"Standard";"2025-05-01";8
"user_00059";40;"";"USA";"Standard";"2024-05-06";20
"user_00060";22;"M";"USA";"Premium";"2023-10-12";27
"user_00061";20;"M";"USA";"Standard";"2024-05-05";20
"user_00062";27;"F";"USA";"Premium";"2024-05-08";20
"user_00063";26;"";"Canada";"Standard";"2023-12-17";25
"user_00064";40;"F";"Canada";"Premium";"2023-09-23";28
"user_00065";38;"F";"USA";"Basic";"2023-11-12";26
"user_00066";0;"F";"USA";"Premium";"2025-03-16";10
"user_00067";38;"M";"USA";"Standard";"2024-11-14";14
"user_00068";30;"M";"USA";"Basic";"2024-10-27";14
"user_00069";40;"F";"USA";"Premium";"2024-05-28";19
"user_00070";50;"M";"Canada";"Premium+";"2024-11-16";14
"user_00071";43;"M";"USA";"Standard";"2022-08-22";41
"user_00072";28;"F";"USA";"Premium";"2023-11-22";26
"user_00073";39;"Other";"Canada";"Basic";"2022-11-22";38
"user_00074";44;"F";"Canada";"Basic";"2023-11-29";25
"user_00075";29;"F";"Canada";"Premium";"2023-12-07";25
"user_00076";26;"M";"Canada";"Standard";"2023-09-14";28
"user_00077";35;"F";"USA";"Premium";"2023-07-08";30
"user_00078";53;"F";"Canada";"Standard";"2025-06-05";7
"user_00079";30;"M";"USA";"Premium";"2024-09-30";15
"user_00080";21;"M";"Canada";"Standard";"2023-12-21";25
"user_00081";56;"Other";"USA";"Premium";"2023-12-07";25
"user_00082";0;"";"USA";"Premium";"2025-02-06";11
"user_00083";33;"F";"USA";"Basic";"2022-12-01";37
"user_00084";50;"";"Canada";"Standard";"2022-08-03";41
"user_00085";48;"F";"USA";"Basic";"2024-10-29";14
"user_00086";66;"M";"USA";"Premium";"2025-01-07";12
"user_00087";26;"F";"USA";"Standard";"2023-08-28";28
"user_00088";38;"Other";"Canada";"Standard";"2024-12-27";12
"user_00089";32;"";"Canada";"Standard";"2023-05-29";31
"user_00090";20;"M";"USA";"Standard";"2024-05-26";19
"user_00091";27;"F";"Canada";"Basic";"2025-04-29";8
"user_00092";20;"M";"Canada";"Premium";"2025-01-06";12
"user_00093";31;"F";"USA";"Premium+";"2023-12-27";24
"user_00094";0;"M";"USA";"Premium";"2023-12-25";24
"user_00095";36;"F";"USA";"Standard";"2025-02-14";11
"user_00096";30;"M";"USA";"Premium";"2025-06-06";7
"user_00097";52;"M";"Canada";"Standard";"2023-03-13";34
"user_00098";24;"F";"USA";"Standard";"2025-06-03";7
"user_00099";20;"F";"USA";"Premium";"2025-06-26";6
"user_00100";22;"F";"USA";"Premium";"2023-09-07";28
"user_00101";14;"M";"USA";"Premium+";"2024-04-04";21
"user_00102";45;"F";"USA";"Premium";"2023-01-27";35
"user_00103";40;"M";"USA";"Premium";"2024-09-30";15
"user_00104";49;"";"USA";"Standard";"2025-03-15";10
"user_00105";22;"";"USA";"Basic";"2023-02-28";34
"user_00106";38;"M";"Canada";"Basic";"2025-04-09";9
"user_00107";35;"F";"Canada";"Standard";"2023-04-24";33
"user_00108";13;"F";"USA";"Premium";"2023-06-10";31
"user_00109";24;"";"USA";"Premium";"2025-03-19";9
"user_00110";49;"F";"Canada";"Standard";"2024-09-27";15
"user_00111";101;"F";"Canada";"Basic";"2022-08-09";41
"user_00112";33;"M";"USA";"Standard";"2024-08-27";16
"user_00113";37;"M";"Canada";"Standard";"2024-02-28";22
"user_00114";36;"Other";"Canada";"Premium";"2025-01-04";12
"user_00115";30;"M";"Canada";"Basic";"2023-08-14";29
"user_00116";37;"";"USA";"Standard";"2025-03-12";10
"user_00117";40;"F";"Canada";"Basic";"2024-03-06";22
"user_00118";43;"F";"USA";"Basic";"2023-12-04";25
"user_00119";0;"M";"USA";"Premium";"2023-10-29";26
"user_00120";39;"M";"USA";"Basic";"2023-04-23";33
"user_00121";18;"M";"USA";"Premium";"2025-02-15";10
"user_00122";32;"Other";"USA";"Standard";"2025-06-15";6
"user_00123";0;"M";"USA";"Premium";"2023-05-15";32
"user_00124";55;"";"USA";"Premium";"2023-06-21";31
"user_00125";53;"F";"USA";"Standard";"2023-01-02";36
"user_00126";6;"Other";"Canada";"Premium";"2023-09-15";28
"user_00127";36;"M";"USA";"Standard";"2023-04-23";33
"user_00128";34;"F";"Canada";"Premium";"2022-10-02";39
"user_00129";46;"F";"USA";"Premium";"2025-04-13";9
"user_00130";48;"M";"USA";"Basic";"2023-09-26";27
"user_00131";54;"M";"USA";"Basic";"2023-04-09";33
"user_00132";61;"F";"USA";"Basic";"2022-08-07";41
"user_00133";18;"F";"Canada";"Standard";"2023-10-29";26
"user_00134";59;"F";"Canada";"Premium+";"2023-09-01";28
"user_00135";16;"M";"USA";"Premium";"2023-07-19";30
"user_00136";7;"F";"USA";"Premium";"2024-05-12";20
"user_00137";26;"F";"USA";"Basic";"2023-05-05";32
"user_00138";32;"F";"USA";"Standard";"2024-07-11";18
"user_00139";45;"F";"USA";"Standard";"2023-08-15";29
"user_00140";51;"M";"USA";"Standard";"2024-10-01";15
"user_00141";34;"";"USA";"Premium+";"2025-06-17";6
"user_00142";0;"M";"USA";"Basic";"2024-04-25";20
"user_00143";36;"F";"USA";"Basic";"2025-05-04";8
"user_00144";59;"F";"Canada";"Standard";"2024-04-01";21
"user_00145";0;"F";"USA";"Premium+";"2024-01-19";24
"user_00146";29;"M";"USA";"Premium+";"2024-11-11";14
"user_00147";30;"F";"USA";"Premium";"2023-03-20";34
"user_00148";9;"F";"USA";"Premium";"2024-04-20";21
"user_00149";18;"F";"Canada";"Standard";"2023-09-17";28
"user_00150";44;"M";"Canada";"Premium+";"2024-12-21";12
