"engagement_id";"customer_id";"month";"watch_hours";"login_days";"num_titles_watched"
1;"user_00001";"2024-02-01";0.0;1;1
2;"user_00001";"2024-05-01";0.69;2;2
3;"user_00001";"2024-06-01";1.08;1;1
4;"user_00001";"2024-07-01";1.32;1;1
5;"user_00001";"2024-11-01";0.0;1;1
6;"user_00001";"2024-12-01";1.04;1;1
7;"user_00001";"2025-01-01";0.22;1;1
8;"user_00001";"2025-03-01";3.78;1;1
9;"user_00001";"2025-05-01";2.2;1;1
10;"user_00001";"2025-07-01";0.41;1;1
11;"user_00001";"2025-10-01";0.0;1;1
12;"user_00002";"2024-02-01";1.34;1;1
13;"user_00002";"2024-04-01";1.56;1;2
14;"user_00002";"2024-10-01";0.33;1;1
15;"user_00002";"2024-12-01";0.0;1;1
16;"user_00002";"2025-01-01";0.15;1;1
17;"user_00002";"2025-06-01";2.43;2;2
18;"user_00002";"2025-07-01";1.07;1;1
19;"user_00002";"2025-08-01";3.6;3;3
20;"user_00002";"2025-09-01";0.66;1;1
21;"user_00002";"2025-10-01";0.06;1;1
22;"user_00002";"2025-11-01";0.68;1;1
23;"user_00003";"2024-04-01";1.92;1;1
24;"user_00003";"2024-07-01";0.77;1;1
25;"user_00003";"2024-08-01";1.67;1;1
26;"user_00003";"2025-01-01";2.53;2;2
27;"user_00003";"2025-03-01";1.07;1;1
28;"user_00003";"2025-06-01";3.06;2;2
29;"user_00004";"2024-02-01";2.57;1;1
30;"user_00004";"2024-03-01";1.14;1;1
31;"user_00004";"2024-05-01";1.11;1;1
32;"user_00004";"2024-06-01";2.5;1;1
33;"user_00004";"2024-07-01";0.66;1;1
34;"user_00004";"2024-10-01";0.66;1;1
35;"user_00004";"2024-11-01";1.62;1;1
36;"user_00004";"2024-12-01";1.34;1;1
37;"user_00004";"2025-01-01";0.99;1;1
38;"user_00004";"2025-04-01";1.89;1;1
39;"user_00004";"2025-06-01";1.76;1;1
40;"user_00004";"2025-07-01";0.0;1;1
41;"user_00004";"2025-10-01";1.21;1;1
42;"user_00004";"2025-12-01";1.66;1;1
43;"user_00005";"2024-01-01";4.09;2;2
44;"user_00005";"2024-06-01";0.44;1;1
45;"user_00005";"2024-09-01";0.0;1;1
46;"user_00005";"2024-11-01";0.21;1;1
47;"user_00005";"2024-12-01";0.78;1;1
48;"user_00005";"2025-08-01";0.0;1;1
49;"user_00005";"2025-09-01";2.5;2;2
50;"user_00006";"2024-02-01";0.61;1;1
51;"user_00006";"2024-06-01";0.19;1;1
52;"user_00006";"2024-07-01";0.0;1;1
53;"user_00006";"2024-09-01";1.35;1;1
54;"user_00006";"2024-10-01";1.2;2;2
55;"user_00006";"2025-01-01";0.53;1;1
56;"user_00006";"2025-06-01";0.84;2;2
57;"user_00006";"2025-07-01";0.66;1;1
58;"user_00006";"2025-11-01";2.09;1;1
59;"user_00007";"2024-08-01";0.46;1;1
60;"user_00007";"2024-09-01";0.2;1;1
61;"user_00007";"2025-01-01";1.78;1;1
62;"user_00007";"2025-05-01";1.3;2;2
63;"user_00007";"2025-06-01";0.5;1;1
64;"user_00007";"2025-07-01";4.2;2;2
65;"user_00007";"2025-08-01";1.34;1;1
66;"user_00007";"2025-09-01";0.0;1;1
67;"user_00007";"2025-11-01";0.8;1;1
68;"user_00007";"2025-12-01";0.45;1;1
69;"user_00008";"2024-02-01";0.54;2;2
70;"user_00008";"2024-03-01";0.46;1;1
71;"user_00008";"2024-06-01";2.0;1;1
72;"user_00008";"2024-07-01";0.56;1;1
73;"user_00008";"2024-10-01";0.0;1;1
74;"user_00008";"2024-12-01";1.29;1;1
75;"user_00008";"2025-01-01";0.36;1;1
76;"user_00008";"2025-08-01";0.8;1;1
77;"user_00008";"2025-11-01";0.84;2;2
78;"user_00009";"2024-03-01";1.14;1;1
79;"user_00009";"2024-09-01";0.0;1;1
80;"user_00009";"2024-10-01";0.85;1;1
81;"user_00009";"2024-12-01";1.01;1;1
82;"user_00009";"2025-01-01";0.72;1;1
83;"user_00009";"2025-08-01";2.13;1;1
84;"user_00009";"2025-11-01";0.62;1;1
85;"user_00010";"2024-03-01";2.14;1;1
86;"user_00010";"2024-04-01";1.3;1;1
87;"user_00010";"2024-08-01";4.47;2;2
88;"user_00010";"2025-03-01";0.42;1;1
89;"user_00010";"2025-04-01";0.26;1;1
90;"user_00010";"2025-11-01";1.25;2;2
91;"user_00011";"2024-01-01";0.89;1;1
92;"user_00011";"2024-03-01";0.88;1;1
93;"user_00011";"2024-05-01";0.59;1;1
94;"user_00011";"2024-07-01";1.42;1;1
95;"user_00011";"2024-08-01";1.31;2;2
96;"user_00011";"2024-09-01";1.01;1;1
97;"user_00011";"2024-11-01";0.74;1;1
98;"user_00011";"2024-12-01";0.58;1;1
99;"user_00011";"2025-01-01";1.65;1;1
100;"user_00011";"2025-05-01";1.04;1;1
101;"user_00011";"2025-08-01";0.26;1;1
102;"user_00011";"2025-12-01";1.73;1;1
103;"user_00012";"2024-03-01";0.1;1;1
104;"user_00012";"2024-04-01";2.3;3;3
105;"user_00012";"2024-05-01";0.0;1;1
106;"user_00012";"2024-07-01";0.39;1;1
107;"user_00012";"2024-11-01";1.09;1;1
108;"user_00012";"2024-12-01";0.07;1;1
109;"user_00012";"2025-04-01";0.06;1;1
110;"user_00012";"2025-05-01";1.68;1;1
111;"user_00012";"2025-06-01";1.99;1;1
112;"user_00012";"2025-07-01";0.05;2;2
113;"user_00012";"2025-08-01";1.34;1;1
114;"user_00012";"2025-10-01";0.93;1;1
115;"user_00013";"2024-03-01";0.48;1;1
116;"user_00013";"2024-04-01";2.18;1;1
117;"user_00013";"2024-09-01";1.93;2;2
118;"user_00013";"2025-01-01";2.07;2;2
119;"user_00013";"2025-02-01";2.11;1;1
120;"user_00013";"2025-03-01";0.0;1;1
121;"user_00013";"2025-05-01";0.93;1;1
122;"user_00013";"2025-07-01";2.45;1;1
123;"user_00013";"2025-12-01";0.74;1;1
124;"user_00014";"2024-02-01";0.49;1;1
125;"user_00014";"2024-03-01";0.7;1;1
126;"user_00014";"2024-04-01";0.37;1;1
127;"user_00014";"2024-05-01";3.34;1;1
128;"user_00014";"2024-08-01";0.5;1;1
129;"user_00014";"2024-10-01";1.27;1;1
130;"user_00014";"2025-06-01";0.8;2;2
131;"user_00014";"2025-07-01";1.07;1;1
132;"user_00014";"2025-08-01";0.55;1;1
133;"user_00014";"2025-09-01";0.44;1;1
134;"user_00014";"2025-11-01";3.27;1;1
135;"user_00015";"2024-07-01";0.17;1;1
136;"user_00015";"2024-08-01";0.5;1;1
137;"user_00015";"2024-12-01";0.69;1;1
138;"user_00015";"2025-01-01";1.88;1;1
139;"user_00015";"2025-03-01";0.89;1;1
140;"user_00015";"2025-04-01";3.22;2;2
141;"user_00015";"2025-08-01";1.49;2;2
142;"user_00016";"2024-05-01";0.0;1;1
143;"user_00016";"2024-09-01";0.03;1;1
144;"user_00016";"2024-10-01";0.0;1;1
145;"user_00016";"2024-11-01";0.81;2;2
146;"user_00016";"2024-12-01";2.28;1;1
147;"user_00016";"2025-01-01";1.15;1;1
148;"user_00016";"2025-09-01";0.24;1;1
149;"user_00017";"2024-04-01";0.85;1;1
150;"user_00017";"2024-08-01";0.0;1;1
151;"user_00017";"2024-09-01";0.87;1;1
152;"user_00017";"2024-11-01";1.78;1;1
153;"user_00017";"2024-12-01";2.61;2;2
154;"user_00017";"2025-08-01";2.38;2;2
155;"user_00017";"2025-10-01";0.2;1;1
156;"user_00017";"2025-12-01";0.18;1;1
157;"user_00018";"2024-04-01";1.23;1;1
158;"user_00018";"2024-08-01";0.6;1;1
159;"user_00018";"2025-04-01";0.58;1;1
160;"user_00018";"2025-07-01";1.08;1;1
161;"user_00018";"2025-08-01";0.37;1;1
162;"user_00018";"2025-09-01";1.18;1;1
163;"user_00018";"2025-10-01";1.48;2;2
164;"user_00019";"2024-01-01";1.66;1;1
165;"user_00019";"2024-03-01";0.43;1;1
166;"user_00019";"2024-07-01";8.5;1;1
167;"user_00019";"2024-08-01";1.82;2;2
168;"user_00019";"2024-11-01";0.79;1;1
169;"user_00019";"2025-02-01";2.38;2;3
170;"user_00019";"2025-05-01";0.0;1;1
171;"user_00019";"2025-06-01";0.18;1;1
172;"user_00019";"2025-08-01";2.43;2;2
173;"user_00019";"2025-12-01";1.05;2;2
174;"user_00020";"2024-03-01";0.33;1;1
175;"user_00020";"2024-07-01";1.76;2;2
176;"user_00020";"2024-12-01";2.47;1;1
177;"user_00020";"2025-02-01";0.49;1;1
178;"user_00020";"2025-03-01";0.0;1;1
179;"user_00020";"2025-04-01";0.85;1;1
180;"user_00020";"2025-06-01";2.4;1;1
181;"user_00020";"2025-10-01";0.57;1;1
182;"user_00020";"2025-12-01";0.0;1;1
183;"user_00021";"2024-05-01";0.0;1;1
184;"user_00021";"2024-06-01";0.0;1;1
185;"user_00021";"2024-08-01";0.57;2;2
186;"user_00021";"2024-12-01";1.01;3;3
187;"user_00021";"2025-02-01";2.18;2;2
188;"user_00022";"2024-05-01";0.31;2;2
189;"user_00022";"2024-06-01";1.62;1;1
190;"user_00022";"2024-09-01";1.06;1;1
191;"user_00022";"2024-12-01";0.47;1;1
192;"user_00022";"2025-02-01";1.0;1;1
193;"user_00022";"2025-03-01";0.21;1;1
194;"user_00022";"2025-04-01";0.71;1;1
195;"user_00022";"2025-06-01";0.64;1;1
196;"user_00022";"2025-07-01";0.18;1;1
197;"user_00022";"2025-08-01";0.08;1;1
198;"user_00022";"2025-10-01";0.83;1;1
199;"user_00022";"2025-12-01";6.77;1;1
200;"user_00023";"2024-01-01";1.25;1;1
201;"user_00023";"2024-05-01";5.85;1;1
202;"user_00023";"2024-06-01";5.3;1;1
203;"user_00023";"2024-07-01";1.12;1;1
204;"user_00023";"2024-09-01";3.96;1;1
205;"user_00023";"2024-11-01";1.06;2;2
206;"user_00023";"2024-12-01";1.79;1;1
207;"user_00023";"2025-08-01";2.55;1;1
208;"user_00023";"2025-09-01";1.98;1;1
209;"user_00023";"2025-10-01";0.26;2;2
210;"user_00023";"2025-11-01";5.07;2;2
211;"user_00023";"2025-12-01";0.42;2;2
212;"user_00024";"2024-10-01";0.0;1;1
213;"user_00024";"2024-12-01";1.77;1;1
214;"user_00024";"2025-03-01";1.16;1;1
215;"user_00024";"2025-06-01";0.0;1;1
216;"user_00024";"2025-07-01";1.08;1;1
217;"user_00024";"2025-08-01";10.73;1;1
218;"user_00024";"2025-09-01";3.3;2;3
219;"user_00024";"2025-12-01";0.3;1;1
220;"user_00025";"2024-03-01";1.93;1;1
221;"user_00025";"2024-07-01";0.98;1;1
222;"user_00025";"2024-09-01";2.38;2;2
223;"user_00025";"2025-01-01";3.74;2;2
224;"user_00025";"2025-02-01";1.89;1;1
225;"user_00025";"2025-03-01";3.65;1;1
226;"user_00026";"2024-03-01";2.13;1;1
227;"user_00026";"2024-08-01";0.45;1;1
228;"user_00026";"2024-10-01";0.99;1;1
229;"user_00026";"2024-12-01";1.88;1;1
230;"user_00026";"2025-07-01";0.0;1;1
231;"user_00026";"2025-09-01";1.76;1;1
232;"user_00026";"2025-12-01";0.48;3;3
233;"user_00027";"2024-01-01";0.0;1;1
234;"user_00027";"2024-05-01";3.25;1;1
235;"user_00027";"2024-06-01";0.43;1;1
236;"user_00027";"2024-08-01";0.27;1;1
237;"user_00027";"2024-10-01";2.5;1;1
238;"user_00027";"2024-12-01";2.2;2;2
239;"user_00027";"2025-01-01";0.0;1;1
240;"user_00027";"2025-02-01";0.79;1;1
241;"user_00027";"2025-06-01";0.16;1;1
242;"user_00027";"2025-10-01";0.57;1;1
243;"user_00028";"2024-01-01";1.73;1;1
244;"user_00028";"2024-02-01";0.41;1;1
245;"user_00028";"2024-04-01";3.77;3;3
246;"user_00028";"2024-06-01";0.9;1;1
247;"user_00028";"2024-07-01";1.11;1;1
248;"user_00028";"2024-08-01";1.66;1;1
249;"user_00028";"2024-10-01";2.17;1;1
250;"user_00028";"2025-02-01";0.88;1;1
251;"user_00028";"2025-03-01";0.81;3;3
252;"user_00028";"2025-04-01";0.95;1;1
253;"user_00028";"2025-05-01";1.74;1;1
254;"user_00028";"2025-06-01";0.43;1;1
255;"user_00028";"2025-07-01";0.0;1;1
256;"user_00028";"2025-08-01";1.25;1;1
257;"user_00028";"2025-10-01";2.15;2;2
258;"user_00029";"2024-05-01";0.0;1;1
259;"user_00029";"2024-07-01";0.85;1;1
260;"user_00029";"2024-11-01";0.94;1;1
261;"user_00029";"2025-01-01";0.39;1;1
262;"user_00029";"2025-02-01";0.64;2;2
263;"user_00029";"2025-05-01";1.34;1;1
264;"user_00029";"2025-09-01";0.49;1;1
